Scheme Name,Net Asset Value
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1673.8262
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1238.1812
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),2882.0054
Invesco India Corporate Bond Fund - Direct Plan - Growth,2881.0926
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1260.7784
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),1167.8536
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment),2844.9478
Invesco India Corporate Bond Fund - Growth,2710.2295
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment),1553.414
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment),1165.8567
Kotak Coporate Bond Fund- Retail Plan-Growth Option,2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option,3325.9451
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option,1073.4839
Kotak Corporate Bond Fund- Institutional Plan-Growth Option,2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option,3207.9646
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option,1045.0307
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option,1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option,1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option,1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option,1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option,1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option,1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan,11.0761
Mirae Asset Corporate Bond Fund Direct IDCW,11.0747
Mirae Asset Corporate Bond Fund Regular Growth,10.9699
Mirae Asset Corporate Bond Fund Regular IDCW,10.9697
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option,17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option,17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option,16.7881
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option,11.7532
